City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Saldanha,ZA,-33.0117,17.9442,57.25,78,60,17.63,broken clouds
207,Veraval,IN,20.9,70.3667,79.52,89,72,17.22,broken clouds
208,Balaghat,IN,21.8,80.1833,76.55,90,69,1.63,broken clouds
209,Evanston,US,42.0411,-87.6901,83.1,48,0,3.0,clear sky
210,Lima,PE,-12.0432,-77.0282,66.9,73,100,5.75,overcast clouds
211,Mezen,RU,65.8522,44.24,70.79,65,31,5.59,scattered clouds
212,North Branford,US,41.3276,-72.7673,84.61,49,6,5.99,clear sky
213,Nhulunbuy,AU,-12.2333,136.7667,68.61,83,6,3.44,clear sky
214,San Jose,US,37.3394,-121.895,79.59,79,40,3.44,scattered clouds
215,Fajardo,PR,18.3258,-65.6524,88.9,75,58,13.51,broken clouds
216,Manavgat,TR,36.7867,31.4431,81.5,71,2,1.99,clear sky
217,Agadez,NE,19.75,10.25,101.46,11,2,9.06,clear sky
218,Lagoa,PT,39.05,-27.9833,70.72,64,34,5.73,scattered clouds
219,Yishui,CN,35.7847,118.6281,74.97,94,100,6.24,overcast clouds
220,Faranah,GN,10.0404,-10.7434,78.19,82,93,5.57,light rain
221,Nadym,RU,65.5333,72.5167,47.61,90,100,9.44,light rain
222,Katsuura,JP,35.1333,140.3,77.22,87,1,12.53,clear sky
223,Zeya,RU,53.75,127.2667,49.91,90,1,3.42,clear sky
224,Kiunga,PG,-6.1219,141.2906,70.29,96,100,3.15,overcast clouds
225,Chuy,UY,-33.6971,-53.4616,52.95,47,23,16.71,few clouds
226,Vancouver,CA,49.2497,-123.1193,82.98,70,75,11.5,broken clouds
227,Cap Malheureux,MU,-19.9842,57.6142,71.47,73,0,5.99,clear sky
228,Novoagansk,RU,61.9449,76.6625,55.63,76,100,9.86,overcast clouds
229,Siavonga,ZM,-16.5382,28.7088,75.18,39,42,2.44,scattered clouds
230,Dzilam Gonzalez,MX,21.2833,-88.9333,89.76,52,84,6.06,broken clouds
231,Loviisa,FI,60.4566,26.2251,70.54,74,100,4.41,overcast clouds
232,Leningradskiy,RU,69.3833,178.4167,34.16,94,53,8.1,broken clouds
